测试套/软件包名,测试用例名,状态,日志文件,原因
,oe_test_freeradius_freeradius-utils_radtestAndRadwho,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/freeradius/oe_test_freeradius_freeradius-utils_radtestAndRadwho/2023-05-26-18:54:43.log,x86 和 riscv 原因一致， radiusd.service 启动失败，[详细分析](./cause_md/freeradius/oe_test_freeradius_freeradius-utils_radtestAndRadwho.md)
iSulad,oe_test_service_isulad,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/iSulad/oe_test_service_isulad/2023-05-26-23:31:47.log,x86 和 riscv 原因一致，[详细分析](./cause_md/iSulad/oe_test_service_isulad.md)
initscripts,oe_test_service_netconsole,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/initscripts/oe_test_service_netconsole/2023-05-27-01:03:12.log,x86 和 riscv 原因一致，[详细分析](./cause_md/initscripts/oe_test_service_netconsole.md)
iputils,oe_test_service_ninfod,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/iputils/oe_test_service_ninfod/2023-05-25-16_57_27.log,软件包缺失，x86 和 riscv 原因一致，[详细分析](./cause_md/iputils/oe_test_service_ninfod.md)
,oe_test_service_rdisc,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/iputils/oe_test_service_rdisc/2023-05-25-16_59_05.log,软件包缺失，x86 和 riscv 原因一致，[详细分析](./cause_md/iputils/oe_test_service_rdisc.md)
kernel,oe_test_check_huge_task,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/kernel/oe_test_check_huge_task/2023-05-25-17_11_57.log,内核问题， x86 和 riscv 原因一致，[详细分析](./cause_md/kernel/oe_test_check_huge_task.md)
,oe_test_io_sched,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/kernel/oe_test_io_sched/2023-05-25-17_07_36.log,测试套问题， x86 和 riscv 原因一致，[详细分析](./cause_md/kernel/oe_test_io_sched.md)
,oe_test_swap_compress,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/kernel/oe_test_swap_compress/2023-05-25-17_11_12.log,测试套问题， x86 和 riscv 原因一致，[详细分析](./cause_md/kernel/oe_test_swap_compress.md)
kmod,oe_test_service_lvm2-lvmpolld,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/lvm2/oe_test_service_lvm2-lvmpolld/2023-06-05-17_43_38.log,x86 和 riscv 原因一致，[详细分析](./cause_md/lvm2/oe_test_service_lvm2-lvmpolld.md)
,oe_test_service_lvm2-monitor,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/lvm2/oe_test_service_lvm2-monitor/2023-06-05-17_44_20.log,x86 和 riscv 原因一致，[详细分析](./cause_md/lvm2/oe_test_service_lvm2-monitor.md)
net-tools,oe_test_net-tools_route,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/net-tools/oe_test_net-tools_route/2023-07-24-12_58_24.log,测试环境问题， x86 和 riscv 原因一致，需要重测
openssl,oe_test_openssl_DSA_algorithm,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/openssl/oe_test_openssl_DSA_algorithm/2023-05-25-18_06_26.log,测试套问题， x86 和 riscv 原因一致，[详细分析](./cause_md/openssl/oe_test_openssl_DSA_algorithm.md)
,oe_test_openssl_Diffie_Hellman,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/openssl/oe_test_openssl_Diffie_Hellman/2023-05-25-18_05_42.log,测试套问题， x86 和 riscv 原因一致，[详细分析](./cause_md/openssl/oe_test_openssl_Diffie_Hellman.md)
,oe_test_openssl_Implements_https,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/openssl/oe_test_openssl_Implements_https/2023-05-25-18_13_15.log,测试套问题， x86 和 riscv 原因一致，[详细分析](./cause_md/openssl/oe_test_openssl_Implements_https.md)
,oe_test_openssl_RSA_algorithm,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/openssl/oe_test_openssl_RSA_algorithm/2023-05-25-18_30_50.log,测试套问题， x86 和 riscv 原因一致，[详细分析](./cause_md/openssl/oe_test_openssl_RSA_algorithm.md)
,oe_test_openssl_create_CA_applying_certificate,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/openssl/oe_test_openssl_create_CA_applying_certificate/2023-05-25-18_01_37.log,测试套问题， x86 和 riscv 原因一致，[详细分析](./cause_md/openssl/oe_test_openssl_create_CA_applying_certificate.md)
,oe_test_openssl_delete_configuration_file,x86 fail,https://github.com/KotorinMinami/res_list/tree/master/mugen-riscv/logs/openssl/oe_test_openssl_delete_configuration_file/2023-05-25-18_03_32.log,测试套问题， x86 和 riscv 原因一致，[详细分析](./cause_md/openssl/oe_test_openssl_delete_configuration_file.md)
